Date;S&P 500 PRICE IN USD;GOLD PRICE IN USD;BITCOIN PRICE IN USD;ETHEREUM PRICE IN USD
01/01/2019;2506,85;1281,34;3823,44;141,18
02/01/2019;2510,03;1287,08;3885,87;158,10
03/01/2019;2447,89;1289,10;3787,81;151,01
04/01/2019;2531,94;1282,97;3817,71;156,19
07/01/2019;2549,69;1288,24;4005,45;151,46
08/01/2019;2574,41;1284,48;3994,90;151,66
09/01/2019;2584,96;1289,65;4002,13;151,62
10/01/2019;2596,64;1289,31;3627,51;128,61
11/01/2019;2596,26;1290,30;3632,02;125,11
14/01/2019;2582,61;1289,85;3664,28;129,62
15/01/2019;2610,30;1289,40;3576,93;119,79
16/01/2019;2616,10;1294,48;3605,91;123,12
17/01/2019;2635,96;1291,74;3639,98;123,18
18/01/2019;2670,71;1283,55;3609,21;120,36
21/01/2019;2670,71;1280,85;3531,51;116,56
22/01/2019;2632,90;1281,04;3577,11;119,18
23/01/2019;2638,70;1282,68;3552,32;117,47
24/01/2019;2642,33;1282,65;3570,73;117,44
25/01/2019;2664,76;1298,59;3560,00;116,03
28/01/2019;2643,85;1302,55;3429,50;105,90
29/01/2019;2640,00;1310,67;3390,50;104,96
30/01/2019;2681,05;1311,66;3437,35;109,01
31/01/2019;2704,10;1322,59;3413,11;107,31
01/02/2019;2706,53;1317,94;3434,83;107,67
04/02/2019;2724,87;1314,58;3410,87;106,99
05/02/2019;2737,70;1313,48;3431,39;106,95
06/02/2019;2731,61;1312,17;3366,99;105,00
07/02/2019;2706,05;1310,48;3359,33;104,51
08/02/2019;2707,88;1314,26;3622,94;118,10
11/02/2019;2709,80;1309,25;3588,70;121,12
12/02/2019;2744,73;1309,52;3585,94;121,93
13/02/2019;2753,03;1313,60;3574,93;122,03
14/02/2019;2745,73;1310,67;3560,46;121,58
15/02/2019;2775,60;1315,30;3566,29;121,97
18/02/2019;2775,60;1326,19;3869,80;144,76
19/02/2019;2779,76;1337,75;3888,46;145,78
20/02/2019;2784,70;1345,45;3936,53;147,53
21/02/2019;2774,88;1331,29;3900,40;145,02
22/02/2019;2792,67;1330,09;3939,82;149,50
25/02/2019;2796,11;1328,34;3820,71;139,74
26/02/2019;2793,90;1328,33;3795,06;137,10
27/02/2019;2792,38;1322,36;3799,33;133,24
28/02/2019;2784,49;1315,65;3791,36;136,31
01/03/2019;2803,69;1303,67;3807,05;139,24
04/03/2019;2792,81;1286,14;3698,66;127,99
05/03/2019;2789,65;1285,05;3844,07;138,13
06/03/2019;2771,45;1286,74;3851,55;139,21
07/03/2019;2748,93;1285,91;3856,64;140,31
08/03/2019;2743,07;1298,26;3844,64;136,60
11/03/2019;2783,30;1292,51;3849,25;135,44
12/03/2019;2791,52;1297,40;3859,74;134,82
13/03/2019;2810,92;1308,18;3848,48;133,53
14/03/2019;2808,48;1294,31;3854,77;133,95
15/03/2019;2822,48;1302,04;3901,21;138,70
18/03/2019;2832,94;1304,69;3969,46;140,10
19/03/2019;2832,57;1307,29;3998,13;140,14
20/03/2019;2824,23;1301,49;4031,59;140,65
21/03/2019;2854,88;1309,53;3974,21;137,31
22/03/2019;2800,71;1312,60;3982,07;137,98
25/03/2019;2798,36;1321,40;3910,51;133,75
26/03/2019;2818,46;1314,08;3922,58;134,77
